drill_id,drill_name,category,description,players_min,players_max,duration_minutes,field_type,setup_data,equipment,coaching_points,difficulty,intensity,coach_rating,personal_notes,times_used,last_used_date,tags,is_favorite,diagram_path,diagram_metadata,positions,age_groups,coach_cues,progression,recommended_field_size,diagram_url,video_youtube_url,video_local_url,video_start_time,position_relevance,skill_category,solo_possible,min_equipment,game_application,video_url,video_thumbnail,coaching_cues,position_track,drill_type,series_name,series_order,rrs_benchmark,space_required,position_primary,presenter_id,college_context,pro_context,variations,prerequisite_drill,next_drill,status,video_url_short,video_url_full,video_status,filming_date,filming_notes,beta_ready,date_published,slug,common_mistakes
WARM_001,Ball Mastery Warmup,Warmup,"Activate your touch before every session. 8 minutes of continuous ball mastery in place: toe taps, inside-outside rolls, sole rolls, and figure-8s. Use both feet equally. Start slow, build pace over 4 minutes.",1,1,8,Any,Stand in place. Any surface works.,Ball,Keep eyes up as much as possible. Use both feet equally. Stay on your toes.,beginner,low,5,,0,,ball masury|warmup|both feet|technical,False,,,,U10-U18,,,,,,,,,Technical,True,Ball only,Ball mastery activates touch that translates directly to your first contact in a match. Players with consistent ball mastery make fewer mistakes in the opening minutes when the game is fastest.,,,Stay on your toes|Eyes up not at the ball|Equal time on both feet|Relax your ankles|Small sharp touches,,Isolation,Foundation Warmup,1,Getting Started,Backyard,,,,,,,,Published,,,Not Filmed,,,True,,warm-001,
WARM_002,Dynamic Movement Activation,Warmup,"Progressive movement warmup over 20 meters: high knees, heel flicks, lateral shuffles, carioca, A-skips, then one sprint. Repeat twice. No ball required.",1,20,8,Any,20-meter straight line. Mark with cones or use field lines.,Cones,Arms drive the movement. Stay low on lateral shuffles. High knees above hip height.,beginner,low,4,,0,,warmup|physical|agility|movement|dynamic,False,,,,U10-U18,,,,,,,,,Physical,True,Ball only,Dynamic warmup reduces injury risk and prepares muscles for explosive movements in the first 10 minutes of a match.,,,Drive arms to drive legs|Stay on balls of feet|Full range of motion|Gradually increase pace|Last rep is explosive,,Isolation,Foundation Warmup,2,Getting Started,Small area,,,,,,,,Published,,,Not Filmed,,,True,,warm-002,
WARM_003,First Touch Activation,Warmup,"Using a wall or rebounder, serve yourself balls at different heights and angles. Control each one cleanly. Alternate: inside of foot, outside of foot, chest, thigh. 3 sets of 10 touches per surface.",1,1,8,Any,Stand 5 yards from a wall. Throw ball against wall and receive each return.,Ball,Get your body behind the ball before it arrives. Soft landing on contact.,beginner,low,5,,0,,first touch|warmup|receiving|wall work|technical,False,,,,U10-U18,,,,,,,,,Technical,True,Ball only,Your first touch in a game determines whether you stay on the ball or lose it immediately.,,,Read the flight early|Get body behind the ball|Soft landing|Touch into space not under feet|Head up after controlling,,Isolation,Foundation Warmup,3,Getting Started,Backyard,,,,,,,,Published,,,Not Filmed,,,True,,warm-003,
WARM_004,Cone Dribbling Activation,Warmup,"Set 6 cones in a straight line, 1 yard apart. Dribble through at walking pace first, then jogging, then 75%. Inside of foot, outside, then alternate. 3 lengths each way.",1,1,8,Any,6 cones 1 yard apart in a straight line - 6 yards total.,"Ball, Cones",Head up between cones. Small touches - do not let ball get ahead of you.,beginner,low,4,,0,,dribbling|warmup|close control|cones|activation,False,assets/diagrams/warm_004.png,,,U10-U18,,,,,,,,,Technical,True,Ball + Cones,Close control in tight spaces. Every time you receive in traffic in a match you need this coordination.,,,Small touches between cones|Eyes up between gates|Use inside and outside|Stay low|Accelerate on last cone,,Isolation,Foundation Warmup,4,Getting Started,Backyard,,,,,,,,Published,,,Not Filmed,,,True,,warm-004,
WARM_005,Hip Mobility Circuit,Warmup,"Complete before every session: leg swings front-back 10 each leg, leg swings side-to-side 10 each leg, hip circles 10 each direction, walking lunges with rotation 10 meters, ankle circles 10 each foot.",1,20,8,Any,No equipment needed. Stand in place or walk 10 meters.,,"Go through the full range of motion. Do not rush. These prepare your joints, not just your muscles.",beginner,low,4,,0,,mobility|flexibility|warmup|physical|no equipment|hip,False,,,,U10-U18,,,,,,,,,Physical,True,Ball only,"Hip mobility directly affects your ability to change direction, receive with different surfaces, and strike the ball with full power.",,,Full range on every movement|Controlled speed|Engage core on lunges|Ankle circles both directions|Breathing stays relaxed,,Isolation,Foundation Warmup,5,Getting Started,Backyard,,,,,,,,Published,,,Not Filmed,,,True,,warm-005,
WARM_006,Wall Passing Warmup,Warmup,"Stand 5 yards from a wall. Pass with inside of right foot, receive with left. Build pace over 3 minutes. Switch: left foot passes, right receives. Finish with 1 minute alternating quick touches.",1,1,8,Any,Flat wall or rebounder 5 yards away. Mark standing position with cone.,Ball,Striking foot stays locked on every contact. Hip opens toward the wall as you pass.,beginner,low,5,,0,,passing|warmup|wall work|both feet|activation,False,,,,U10-U18,,,,,,,,,Technical,True,Ball only,Quick passing in pairs or triangles feels effortless when feet are warm and the strike is consistent.,,,Locked ankle on every contact|Hip opens toward target|Firm pass not soft|Receive across body to other foot|Head up as pace increases,,Isolation,Foundation Warmup,6,Getting Started,Backyard,,,,,,,,Published,,,Not Filmed,,,True,,warm-006,
TECH_001,Ball Mastery - 10 Core Patterns,Technical,"Master 10 individual patterns, 60 seconds each: toe taps, inside-outside right foot, inside-outside left foot, sole rolls left-right, scissors, V-pull, L-pull turn, step-over, inside cut, outside cut. Clean execution at slow pace before adding speed.",1,1,12,Any,Stand in place or a 2x2 yard area. Ball only.,Ball,"Quality over speed. Once clean at slow pace, add pace. Eyes up on every pattern.",beginner,low,5,,0,,ball mastery|dribbling|individual|both feet|technical,False,,,,U10-U18,,,,,,,,,Technical,True,Ball only,"Players who master these patterns use them in matches without thinking, freeing mental space to read the game.",,,Quality before speed|Stay on toes throughout|Both feet equally|Eyes up as each pattern feels natural|Relax - tension reduces touch quality,,Isolation,Foundation Technical,1,Recreational Player,Backyard,,,,,,,,Published,,,Not Filmed,,,True,,tech-001,
TECH_002,"First Touch - Inside, Outside, Chest",Technical,"Using a wall, work through 3 receiving surfaces. Set 1: serve against wall, receive inside of foot, redirect 45 degrees left. Set 2: outside of foot redirect. Set 3: throw, receive chest, drop to feet. 20 reps each set, both feet.",1,1,12,Any,5 yards from a wall. Mark a 45-degree target with a cone on each side.,Ball,The moment of contact: relax the receiving surface. Redirect into space - do not just stop the ball.,beginner,low,5,,0,,first touch|receiving|wall work|technical|both feet,False,,,,U10-U18,,,,,,,,,Technical,True,Ball only,Your first touch either opens up your next action or kills it. A well-directed first touch puts the ball in space and you in motion.,,,Soft surface on contact|Redirect into space not under feet|Body shape before ball arrives|Head up after touch|Touch takes you away from pressure,,Isolation,Foundation Technical,2,Recreational Player,Backyard,,,,,,,,Published,,,Not Filmed,,,True,,tech-002,
TECH_003,Weak Foot Development,Technical,"Full 15-minute session using only your weaker foot. Phase 1 (5 min): ball mastery - toe taps, inside-outside, sole rolls. Phase 2 (5 min): passing to wall from 10 yards. Phase 3 (5 min): dribble through cone gates. No strong foot allowed.",1,1,15,Any,"Ball, 4 cones for a small gate, wall for passing phase.","Ball, Cones",Ankle stays locked even when it does not feel natural. Repetition builds the coordination that makes it feel normal.,intermediate,medium,5,,0,,weak foot|both feet|dribbling|passing|technical,False,,,,U10-U18,,,,,,,,,Technical,True,Ball only,Two-footed players are unpredictable because defenders cannot show them one way. Every weak foot rep removes a defensive tool from your opponent.,,,Ankle locked even when unnatural|Do not cheat to strong foot|Discomfort means it is working|Same technique as strong foot|Quality not quantity early,,Isolation,Weak Foot Program,1,Club Level,Backyard,,,,,,,,Published,,,Not Filmed,,,True,,tech-003,
TECH_004,Passing Accuracy to Wall Targets,Technical,"Mark 3 targets on a wall at ground level: left, center, right - each 1 yard wide. From 10 yards, pass to each target 10 times with right then left foot. Move back to 15 yards and repeat. Aim for 8/10 accuracy.",1,1,12,Any,3 targets marked on a wall each 1 yard wide. Stand 10 then 15 yards away.,Ball,Non-kicking foot points at the target. Follow through toward target.,beginner,low,4,,0,,passing|accuracy|wall work|both feet|technical,False,,,,U10-U18,,,,,,,,,Technical,True,Ball only,Every pass in a game is a targeting exercise. Training accuracy at range teaches your body the adjustments that produce a precise pass under pressure.,,,Non-kicking foot beside ball pointing at target|Hip opens to target before strike|Follow through toward target|Locked ankle firm contact|Head down through the strike,,Isolation,Foundation Technical,3,Recreational Player,Backyard,,,,,,,,Published,,,Not Filmed,,,True,,tech-004,
