drill_id,drill_name,category,description,players_min,players_max,duration_minutes,field_type,setup_data,equipment,coaching_points,difficulty,intensity,coach_rating,personal_notes,times_used,last_used_date,tags,is_favorite,diagram_path,diagram_metadata,positions,age_groups,coach_cues,progression,recommended_field_size,diagram_url,video_youtube_url,video_local_url,video_start_time,position_relevance,skill_category,solo_possible,min_equipment,game_application,video_url,video_thumbnail,coaching_cues,position_track,drill_type,series_name,series_order,rrs_benchmark,space_required,position_primary,presenter_id,college_context,pro_context,variations,prerequisite_drill,next_drill,status,video_url_short,video_url_full,video_status,filming_date,filming_notes,beta_ready,date_published,slug,common_mistakes
WARM_001,Dynamic Stretching Circuit,Warmup,Progressive dynamic stretches with movement,4,20,10,Any,Open space,cones,Focus on proper form and gradual intensity increase,beginner,low,4,,3,2025-11-27,,False,assets/diagrams/WARM_001.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 20, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 20, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 60.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 60.0, ""y"": 50}], ""cones"": [{""x"": 30.0, ""y"": 15}, {""x"": 30.0, ""y"": 55}, {""x"": 50.0, ""y"": 15}, {""x"": 50.0, ""y"": 55}], ""arrows"": [{""from"": [20, 20], ""to"": [60.0, 20], ""type"": ""pass""}, {""from"": [20, 50], ""to"": [60.0, 50], ""type"": ""pass""}]}",,,,,,,,,,,Technical,True,Ball only,Game application notes coming soon,,,,,Isolation,,0,Club Level,Small area,,,,,,,,Published,,,Not Filmed,,,False,,,
WARM_002,Passing in Pairs,Warmup,Partner passing with increasing distance,4,16,8,Any,10x10 yard grids,"balls,cones","Proper passing technique, communication",beginner,low,5,,12,2025-11-27,,False,assets/diagrams/WARM_002.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 25, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 25, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 57.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 57.5, ""y"": 50}], ""cones"": [{""x"": 32.5, ""y"": 15}, {""x"": 32.5, ""y"": 55}, {""x"": 47.5, ""y"": 15}, {""x"": 47.5, ""y"": 55}], ""arrows"": [{""from"": [25, 20], ""to"": [57.5, 20], ""type"": ""pass""}, {""from"": [25, 50], ""to"": [57.5, 50], ""type"": ""pass""}]}",,,,,,,,,,,Technical,True,Ball only,Game application notes coming soon,,,,,Isolation,,0,Club Level,Small area,,,,,,,,Published,,,Not Filmed,,,False,,,
WARM_003,Rondo 4v1,Warmup,Keep away in small grid,5,15,10,Grid,10x10 yard square,"balls,cones,pinnies","Quick touches, movement off ball",intermediate,medium,5,,4,2025-11-27,,False,assets/diagrams/WARM_003.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 30, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 30, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 55.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 55.0, ""y"": 50}], ""cones"": [{""x"": 35.0, ""y"": 15}, {""x"": 35.0, ""y"": 55}, {""x"": 45.0, ""y"": 15}, {""x"": 45.0, ""y"": 55}], ""arrows"": [{""from"": [30, 20], ""to"": [55.0, 20], ""type"": ""pass""}, {""from"": [30, 50], ""to"": [55.0, 50], ""type"": ""pass""}]}",,,,,,,,,,,Technical,True,Ball only,Game application notes coming soon,,,,,Isolation,,0,Club Level,Small area,,,,,,,,Published,,,Not Filmed,,,False,,,
WARM_004,Dribbling Gates,Warmup,Dribble through cone gates with turns,4,12,12,Grid,Multiple 2-yard gates,"balls,cones","Head up, use different surfaces of foot",intermediate,medium,4,,2,2025-11-27,,False,assets/diagrams/WARM_004.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 35, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 35, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 52.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 52.5, ""y"": 50}], ""cones"": [{""x"": 37.5, ""y"": 15}, {""x"": 37.5, ""y"": 55}, {""x"": 42.5, ""y"": 15}, {""x"": 42.5, ""y"": 55}], ""arrows"": [{""from"": [35, 20], ""to"": [52.5, 20], ""type"": ""pass""}, {""from"": [35, 50], ""to"": [52.5, 50], ""type"": ""pass""}]}",,,,,,,,,,,Technical,True,Ball only,Game application notes coming soon,,,,,Isolation,,0,Club Level,Small area,,,,,,,,Published,,,Not Filmed,,,False,,,
WARM_005,Possession Circle,Warmup,Circle possession with defenders in middle,8,16,10,Circle,20-yard circle,"balls,cones,pinnies","Vision, one-touch when possible",intermediate,medium,3,,4,2025-11-27,,False,assets/diagrams/WARM_005.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 40, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 40, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 50.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 50.0, ""y"": 50}], ""cones"": [{""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}, {""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}], ""arrows"": [{""from"": [40, 20], ""to"": [50.0, 20], ""type"": ""pass""}, {""from"": [40, 50], ""to"": [50.0, 50], ""type"": ""pass""}]}",,,,,,,,,,,Technical,True,Ball only,Game application notes coming soon,,,,,Isolation,,0,Club Level,Small area,,,,,,,,Published,,,Not Filmed,,,False,,,
TECH_001,Shooting Accuracy,Technical,Shooting at targets from various angles,4,12,15,Goal,Cones as targets in goal,"balls,cones,goals","Plant foot position, follow through",intermediate,medium,5,,2,2025-11-26,,False,assets/diagrams/TECH_001.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 20, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 20, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 60.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 60.0, ""y"": 50}], ""cones"": [{""x"": 30.0, ""y"": 15}, {""x"": 30.0, ""y"": 55}, {""x"": 50.0, ""y"": 15}, {""x"": 50.0, ""y"": 55}], ""arrows"": [{""from"": [20, 20], ""to"": [60.0, 20], ""type"": ""pass""}, {""from"": [20, 50], ""to"": [60.0, 50], ""type"": ""pass""}]}",,,,,,,,,,,Technical,True,Ball only,Game application notes coming soon,,,,,Isolation,,0,Club Level,Small area,,,,,,,,Published,,,Not Filmed,,,False,,,
TECH_002,First Touch Control,Technical,Receiving and controlling from different angles,4,16,12,Grid,Triangle formations,"balls,cones","Cushion the ball, body shape to receive",beginner,low,4,,1,2025-11-27,,False,assets/diagrams/TECH_002.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 25, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 25, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 57.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 57.5, ""y"": 50}], ""cones"": [{""x"": 32.5, ""y"": 15}, {""x"": 32.5, ""y"": 55}, {""x"": 47.5, ""y"": 15}, {""x"": 47.5, ""y"": 55}], ""arrows"": [{""from"": [25, 20], ""to"": [57.5, 20], ""type"": ""pass""}, {""from"": [25, 50], ""to"": [57.5, 50], ""type"": ""pass""}]}",,,,,,,,,,,Technical,True,Ball only,Game application notes coming soon,,,,,Isolation,,0,Club Level,Small area,,,,,,,,Published,,,Not Filmed,,,False,,,
TECH_003,1v1 Attacking Moves,Technical,Individual dribbling moves to beat defender,4,12,15,Grid,10x20 yard channels,"balls,cones,pinnies","Change of pace, protect ball with body",advanced,high,5,,1,2025-11-27,,False,assets/diagrams/TECH_003.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 30, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 30, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 55.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 55.0, ""y"": 50}], ""cones"": [{""x"": 35.0, ""y"": 15}, {""x"": 35.0, ""y"": 55}, {""x"": 45.0, ""y"": 15}, {""x"": 45.0, ""y"": 55}], ""arrows"": [{""from"": [30, 20], ""to"": [55.0, 20], ""type"": ""pass""}, {""from"": [30, 50], ""to"": [55.0, 50], ""type"": ""pass""}]}",,,,,,,,,,,Technical,True,Ball only,Game application notes coming soon,,,,,Isolation,,0,Club Level,Small area,,,,,,,,Published,,,Not Filmed,,,False,,,
TECH_004,Crossing and Finishing,Technical,Wing crosses with central finishing,6,14,20,Goal,Wing positions marked,"balls,cones,goals","Quality of cross, timing of runs",advanced,high,4,,3,2025-11-27,,False,assets/diagrams/TECH_004.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 35, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 35, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 52.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 52.5, ""y"": 50}], ""cones"": [{""x"": 37.5, ""y"": 15}, {""x"": 37.5, ""y"": 55}, {""x"": 42.5, ""y"": 15}, {""x"": 42.5, ""y"": 55}], ""arrows"": [{""from"": [35, 20], ""to"": [52.5, 20], ""type"": ""pass""}, {""from"": [35, 50], ""to"": [52.5, 50], ""type"": ""pass""}]}",,,,,,,,,,,Technical,True,Ball only,Game application notes coming soon,,,,,Isolation,,0,Club Level,Small area,,,,,,,,Published,,,Not Filmed,,,False,,,
TECH_005,Passing Patterns,Technical,Combination passing sequences,6,16,15,Grid,Diamond formation,"balls,cones","Weight of pass, timing of movement",intermediate,medium,4,,3,2025-11-27,,False,assets/diagrams/TECH_005.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 40, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 40, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 50.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 50.0, ""y"": 50}], ""cones"": [{""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}, {""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}], ""arrows"": [{""from"": [40, 20], ""to"": [50.0, 20], ""type"": ""pass""}, {""from"": [40, 50], ""to"": [50.0, 50], ""type"": ""pass""}]}",,,,,,,,,,,Technical,True,Ball only,Game application notes coming soon,,,,,Isolation,,0,Club Level,Small area,,,,,,,,Published,,,Not Filmed,,,False,,,
